               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2,metrics/starfish_mAP_50
                   0,            0.060862,            0.015581,                   0,          0.00064158,             0.04615,          0.00033859,          8.4733e-05,             0.04985,              0.0141,                   0,           0.0015974,           0.0015974,            0.026638,          0.00033859
                   1,             0.04779,            0.011941,                   0,             0.39539,             0.20595,              0.2009,            0.078779,            0.035662,            0.013896,                   0,           0.0031801,           0.0031801,           0.0032207,              0.2009
                   2,            0.036303,            0.010905,                   0,             0.76262,             0.57154,             0.66309,             0.26634,            0.022542,           0.0094252,                   0,           0.0031311,           0.0031311,           0.0031311,             0.66309
                   3,            0.032355,           0.0090855,                   0,             0.86299,             0.64384,             0.75525,             0.35221,            0.020409,           0.0079126,                   0,           0.0031311,           0.0031311,           0.0031311,             0.75525
                   4,            0.030625,           0.0084828,                   0,             0.86723,               0.727,             0.82012,             0.40753,            0.019358,           0.0066209,                   0,           0.0030465,           0.0030465,           0.0030465,             0.82012
                   5,            0.029522,           0.0079602,                   0,               0.877,             0.76009,             0.84753,             0.44163,              0.0185,           0.0062155,                   0,           0.0029311,           0.0029311,           0.0029311,             0.84753
                   6,            0.028545,           0.0075896,                   0,             0.88655,             0.81653,             0.88782,             0.46899,            0.017807,           0.0056824,                   0,           0.0027876,           0.0027876,           0.0027876,             0.88782
                   7,            0.027867,           0.0072941,                   0,               0.901,             0.82406,             0.89678,             0.48488,            0.017273,           0.0053834,                   0,           0.0026196,           0.0026196,           0.0026196,             0.89678
                   8,            0.027486,           0.0072622,                   0,             0.90476,             0.85849,              0.9169,             0.50189,            0.016944,           0.0050421,                   0,           0.0024312,           0.0024312,           0.0024312,              0.9169
                   9,            0.026601,           0.0068628,                   0,              0.9165,             0.86079,             0.92335,             0.50492,            0.016882,           0.0049249,                   0,           0.0022271,           0.0022271,           0.0022271,             0.92335
                  10,            0.025985,           0.0068025,                   0,             0.91394,             0.87753,             0.92865,             0.52197,            0.016188,            0.004785,                   0,           0.0020123,           0.0020123,           0.0020123,             0.92865
                  11,            0.026082,           0.0069611,                   0,             0.92196,             0.88038,             0.93505,             0.52185,            0.016076,           0.0046611,                   0,            0.001792,            0.001792,            0.001792,             0.93505
                  12,            0.025079,           0.0065322,                   0,             0.92772,             0.88799,             0.94133,             0.54019,            0.015652,           0.0045665,                   0,           0.0015717,           0.0015717,           0.0015717,             0.94133
                  13,            0.025071,           0.0065868,                   0,             0.92363,             0.89215,             0.94315,             0.53872,            0.015464,           0.0045186,                   0,           0.0013569,           0.0013569,           0.0013569,             0.94315
                  14,            0.025069,           0.0063765,                   0,             0.92586,             0.90593,             0.94888,             0.54312,            0.015652,           0.0044088,                   0,           0.0011528,           0.0011528,           0.0011528,             0.94888
                  15,            0.024623,           0.0063108,                   0,             0.92905,             0.90862,             0.95407,             0.55395,            0.015137,           0.0043602,                   0,           0.0009644,           0.0009644,           0.0009644,             0.95407
