               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2,metrics/starfish_mAP_50
                   0,            0.032438,            0.014207,                   0,          2.1452e-05,           0.0033181,          1.0755e-05,          2.6883e-06,            0.023621,             0.01046,                   0,           0.0015977,           0.0015977,            0.026633,          1.0755e-05
                   1,            0.025264,           0.0080606,                   0,          8.0386e-05,            0.012443,          4.0696e-05,          9.8615e-06,            0.017233,           0.0089179,                   0,           0.0031977,           0.0031977,           0.0032328,          4.0696e-05
                   2,            0.020081,           0.0069685,                   0,             0.58349,             0.32932,             0.37848,             0.18351,            0.012241,           0.0076611,                   0,           0.0031997,           0.0031997,           0.0031997,             0.37848
                   3,            0.017075,           0.0059261,                   0,             0.76524,             0.51265,             0.60737,             0.28675,            0.011006,           0.0058036,                   0,           0.0031997,           0.0031997,           0.0031997,             0.60737
                   4,            0.016373,           0.0051016,                   0,             0.84149,             0.59311,             0.70017,             0.36308,            0.010198,           0.0049633,                   0,           0.0031993,           0.0031993,           0.0031993,             0.70017
                   5,            0.015366,           0.0048585,                   0,             0.88687,              0.6308,             0.75499,              0.3888,            0.010081,            0.004448,                   0,           0.0031988,           0.0031988,           0.0031988,             0.75499
                   6,            0.014781,            0.004501,                   0,             0.85677,              0.6798,             0.78255,             0.36693,           0.0098873,           0.0040885,                   0,           0.0031981,           0.0031981,           0.0031981,             0.78255
                   7,            0.014462,           0.0043532,                   0,             0.88284,             0.71879,             0.82165,             0.43295,           0.0095176,           0.0036935,                   0,           0.0031972,           0.0031972,           0.0031972,             0.82165
                   8,            0.014144,           0.0041164,                   0,             0.89057,             0.74285,             0.84478,             0.44591,            0.009399,           0.0034853,                   0,           0.0031962,           0.0031962,           0.0031962,             0.84478
                   9,            0.013892,           0.0040335,                   0,             0.86859,             0.76981,             0.85845,              0.4628,           0.0090592,           0.0032715,                   0,           0.0031951,           0.0031951,           0.0031951,             0.85845
                  10,            0.013484,           0.0038886,                   0,             0.89361,             0.79096,             0.87959,             0.47224,           0.0089475,            0.003107,                   0,           0.0031938,           0.0031938,           0.0031938,             0.87959
                  11,             0.01339,           0.0038522,                   0,             0.90077,             0.81543,             0.89211,             0.47625,           0.0091548,            0.003026,                   0,           0.0031923,           0.0031923,           0.0031923,             0.89211
                  12,            0.013123,           0.0035944,                   0,             0.92784,             0.80713,             0.89775,             0.49864,           0.0085948,           0.0029098,                   0,           0.0031907,           0.0031907,           0.0031907,             0.89775
                  13,            0.013122,           0.0035695,                   0,             0.90399,             0.83949,             0.90496,             0.47325,           0.0091613,            0.002813,                   0,           0.0031889,           0.0031889,           0.0031889,             0.90496
                  14,            0.012854,           0.0034689,                   0,             0.91602,             0.84605,             0.91824,             0.50755,           0.0084362,           0.0027446,                   0,            0.003187,            0.003187,            0.003187,             0.91824
                  15,            0.012603,           0.0034582,                   0,             0.92022,             0.84903,             0.92055,             0.51032,           0.0084257,           0.0026989,                   0,           0.0031849,           0.0031849,           0.0031849,             0.92055
                  16,            0.012354,           0.0034309,                   0,             0.90914,             0.86354,             0.92096,             0.51805,           0.0083332,           0.0026384,                   0,           0.0031827,           0.0031827,           0.0031827,             0.92096
                  17,            0.012454,           0.0032808,                   0,             0.91764,             0.86876,             0.92733,             0.52744,           0.0082293,           0.0026114,                   0,           0.0031803,           0.0031803,           0.0031803,             0.92733
                  18,            0.012213,           0.0033499,                   0,             0.92367,             0.86769,             0.92909,             0.52688,           0.0082092,           0.0025718,                   0,           0.0031777,           0.0031777,           0.0031777,             0.92909
                  19,            0.011922,           0.0032445,                   0,             0.93481,             0.87424,             0.93675,             0.53893,           0.0080073,           0.0025144,                   0,           0.0031751,           0.0031751,           0.0031751,             0.93675
                  20,            0.011878,           0.0032789,                   0,             0.91833,             0.88345,             0.93553,             0.54318,           0.0080119,           0.0024987,                   0,           0.0031722,           0.0031722,           0.0031722,             0.93553
                  21,            0.011881,           0.0032196,                   0,             0.94055,             0.87972,              0.9424,             0.54641,           0.0080007,           0.0024554,                   0,           0.0031692,           0.0031692,           0.0031692,              0.9424
                  22,             0.01162,           0.0032029,                   0,             0.92231,             0.89258,             0.94153,             0.54641,           0.0078753,           0.0024693,                   0,           0.0031661,           0.0031661,           0.0031661,             0.94153
                  23,            0.011489,            0.003174,                   0,             0.91831,             0.90502,             0.94607,              0.5581,           0.0078139,           0.0024084,                   0,           0.0031628,           0.0031628,           0.0031628,             0.94607
                  24,            0.011434,           0.0031894,                   0,             0.93403,             0.89254,             0.94745,             0.56142,           0.0078411,           0.0023935,                   0,           0.0031594,           0.0031594,           0.0031594,             0.94745
                  25,            0.011342,           0.0030109,                   0,             0.93246,             0.90004,              0.9505,             0.56605,           0.0078126,           0.0023667,                   0,           0.0031558,           0.0031558,           0.0031558,              0.9505
                  26,            0.011207,           0.0030252,                   0,             0.93455,             0.90668,             0.95047,             0.55809,           0.0078218,           0.0023666,                   0,            0.003152,            0.003152,            0.003152,             0.95047
                  27,            0.010962,           0.0029679,                   0,             0.93561,             0.91663,             0.95521,             0.56923,           0.0075918,           0.0023232,                   0,           0.0031481,           0.0031481,           0.0031481,             0.95521
                  28,            0.010923,           0.0029808,                   0,             0.91972,             0.92658,              0.9551,             0.56732,           0.0076798,           0.0023248,                   0,           0.0031441,           0.0031441,           0.0031441,              0.9551
                  29,            0.010811,            0.002998,                   0,             0.93944,             0.91362,             0.95602,             0.57215,           0.0075739,           0.0023103,                   0,           0.0031399,           0.0031399,           0.0031399,             0.95602
                  30,            0.010824,           0.0028635,                   0,              0.9403,             0.91454,             0.95622,             0.57642,             0.00762,           0.0022956,                   0,           0.0031356,           0.0031356,           0.0031356,             0.95622
                  31,            0.010695,           0.0029383,                   0,             0.93832,             0.91705,             0.95638,             0.57773,           0.0075515,           0.0022787,                   0,           0.0031311,           0.0031311,           0.0031311,             0.95638
                  32,            0.010467,           0.0028749,                   0,             0.94356,             0.91788,             0.95862,             0.57797,           0.0074057,           0.0022488,                   0,           0.0031265,           0.0031265,           0.0031265,             0.95862
                  33,             0.01058,           0.0029267,                   0,             0.92879,             0.93115,             0.95842,              0.5829,           0.0074463,           0.0022481,                   0,           0.0031217,           0.0031217,           0.0031217,             0.95842
                  34,            0.010496,           0.0028937,                   0,             0.94003,             0.92313,             0.95849,             0.58334,           0.0073956,           0.0022396,                   0,           0.0031168,           0.0031168,           0.0031168,             0.95849
                  35,            0.010333,           0.0028891,                   0,             0.94835,             0.92161,             0.95941,             0.58573,            0.007391,           0.0022453,                   0,           0.0031117,           0.0031117,           0.0031117,             0.95941
                  36,            0.010248,           0.0028741,                   0,             0.95309,             0.91856,             0.96111,             0.58988,           0.0074093,           0.0022137,                   0,           0.0031065,           0.0031065,           0.0031065,             0.96111
                  37,            0.010196,           0.0029009,                   0,             0.93832,              0.9353,             0.96149,              0.5958,           0.0073048,           0.0021993,                   0,           0.0031011,           0.0031011,           0.0031011,             0.96149
                  38,            0.010058,           0.0027736,                   0,              0.9483,             0.92818,             0.96342,             0.59445,           0.0073354,           0.0021921,                   0,           0.0030956,           0.0030956,           0.0030956,             0.96342
                  39,           0.0098734,           0.0027328,                   0,             0.93484,             0.94014,             0.96409,             0.59815,           0.0072322,           0.0021779,                   0,             0.00309,             0.00309,             0.00309,             0.96409
                  40,            0.009818,           0.0027435,                   0,             0.95198,             0.92244,             0.96493,              0.5959,           0.0072917,           0.0021792,                   0,           0.0030842,           0.0030842,           0.0030842,             0.96493
