               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2,metrics/starfish_mAP_50
                  16,            0.038649,            0.009377,                   0,             0.51667,             0.42384,             0.29418,             0.16087,            0.029269,           0.0098238,                   0,          0.00079639,          0.00079639,          0.00079639,             0.29418
                  17,            0.038688,           0.0094474,                   0,             0.54959,             0.42745,             0.31286,             0.17332,            0.028934,           0.0095491,                   0,           0.0014671,           0.0014671,           0.0014671,             0.31286
                  18,            0.037973,            0.009292,                   0,             0.55758,             0.43863,             0.31791,             0.17644,            0.028255,           0.0094933,                   0,           0.0013588,           0.0013588,           0.0013588,             0.31791
                  19,            0.037871,           0.0091444,                   0,             0.56601,             0.44401,             0.33642,             0.18846,            0.028052,           0.0094049,                   0,           0.0012505,           0.0012505,           0.0012505,             0.33642
                  20,            0.037662,           0.0092376,                   0,             0.58794,             0.44359,             0.34299,              0.1929,            0.027995,           0.0093015,                   0,           0.0011422,           0.0011422,           0.0011422,             0.34299
                  21,            0.037258,           0.0091421,                   0,             0.59752,             0.45082,             0.35699,             0.20098,            0.027576,           0.0092533,                   0,           0.0010338,           0.0010338,           0.0010338,             0.35699
                  22,            0.037229,           0.0093755,                   0,             0.60084,             0.45141,              0.3525,             0.19779,            0.027528,           0.0092218,                   0,          0.00092554,          0.00092554,          0.00092554,              0.3525
                  23,            0.036901,           0.0091826,                   0,             0.60825,              0.4562,             0.36228,             0.20501,             0.02735,           0.0091734,                   0,          0.00081723,          0.00081723,          0.00081723,             0.36228
                  24,            0.037183,           0.0089906,                   0,             0.61491,             0.45847,                0.37,             0.20982,            0.027284,             0.00914,                   0,          0.00070892,          0.00070892,          0.00070892,                0.37
                  25,            0.036878,           0.0092352,                   0,               0.615,             0.45708,             0.36785,             0.20947,            0.027181,           0.0091063,                   0,          0.00060062,          0.00060062,          0.00060062,             0.36785
                  26,            0.035768,            0.008867,                   0,             0.61622,             0.45839,             0.36891,             0.21092,            0.027001,           0.0090906,                   0,          0.00049231,          0.00049231,          0.00049231,             0.36891
                  27,            0.036281,            0.009049,                   0,             0.62176,             0.45805,             0.37276,             0.21325,            0.027069,           0.0090608,                   0,           0.0011662,           0.0011662,           0.0011662,             0.37276
                  28,            0.035838,           0.0089769,                   0,             0.61493,             0.45561,             0.37394,             0.21476,            0.026816,           0.0090855,                   0,            0.001088,            0.001088,            0.001088,             0.37394
                  29,            0.035957,           0.0088916,                   0,             0.62665,             0.46041,             0.38241,             0.22032,            0.026731,           0.0090448,                   0,           0.0010098,           0.0010098,           0.0010098,             0.38241
                  30,            0.035904,           0.0089897,                   0,             0.62743,              0.4656,             0.38238,             0.22013,            0.026739,           0.0090166,                   0,          0.00093156,          0.00093156,          0.00093156,             0.38238
                  31,            0.035639,           0.0089406,                   0,             0.64206,             0.45671,             0.39141,             0.22548,            0.026445,           0.0089879,                   0,          0.00085333,          0.00085333,          0.00085333,             0.39141
                  32,            0.035748,           0.0091804,                   0,             0.63303,             0.46764,             0.39141,             0.22642,            0.026447,           0.0089918,                   0,          0.00077511,          0.00077511,          0.00077511,             0.39141
                  33,            0.035496,           0.0089924,                   0,             0.63135,             0.46638,             0.39058,             0.22635,            0.026334,           0.0089645,                   0,          0.00069689,          0.00069689,          0.00069689,             0.39058
                  34,            0.035867,           0.0088168,                   0,             0.64271,             0.46545,              0.3951,             0.22942,            0.026304,           0.0089112,                   0,          0.00061867,          0.00061867,          0.00061867,              0.3951
