               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2,metrics/starfish_mAP_50
                   0,            0.040998,            0.014708,                   0,          3.2284e-05,           0.0047915,           1.613e-05,           3.729e-06,            0.027081,            0.010943,                   0,           0.0008576,           0.0008576,            0.037458,           1.613e-05
                   1,              0.0321,           0.0092109,                   0,           4.844e-05,           0.0072293,          2.4404e-05,          5.9178e-06,            0.021973,           0.0091854,                   0,           0.0016388,           0.0016388,            0.024789,          2.4404e-05
                   2,            0.028223,           0.0077271,                   0,          0.00034485,          0.00016812,          3.2421e-05,          7.8837e-06,            0.020725,           0.0087452,                   0,           0.0023403,           0.0023403,             0.01204,          3.2421e-05
                   3,            0.027419,            0.007279,                   0,           3.778e-05,           0.0056321,          1.9019e-05,          3.7988e-06,            0.020064,            0.008533,                   0,           0.0027554,           0.0027554,           0.0027554,          1.9019e-05
                   4,            0.027304,           0.0068963,                   0,          0.00053746,          0.00050437,          2.8318e-05,           9.636e-06,            0.019215,           0.0082879,                   0,           0.0027554,           0.0027554,           0.0027554,          2.8318e-05
                   5,            0.026009,           0.0067831,                   0,            0.061001,            0.030262,           0.0095068,           0.0046707,             0.01829,           0.0082513,                   0,           0.0026072,           0.0026072,           0.0026072,           0.0095068
                   6,            0.024938,           0.0069207,                   0,             0.14708,             0.10878,            0.045164,            0.018828,            0.017934,            0.007975,                   0,           0.0024589,           0.0024589,           0.0024589,            0.045164
                   7,            0.024942,            0.006475,                   0,             0.22211,             0.13156,            0.077664,            0.032791,            0.017228,           0.0077807,                   0,           0.0023107,           0.0023107,           0.0023107,            0.077664
                   8,            0.024489,           0.0066173,                   0,             0.28185,             0.15022,            0.099217,            0.043162,            0.016929,           0.0075553,                   0,           0.0021625,           0.0021625,           0.0021625,            0.099217
                   9,            0.023623,           0.0062852,                   0,             0.30516,             0.17544,             0.11842,            0.054106,            0.016809,           0.0073711,                   0,           0.0020143,           0.0020143,           0.0020143,             0.11842
                  10,            0.023542,           0.0062661,                   0,             0.34153,             0.18721,              0.1328,            0.059425,            0.016558,           0.0072242,                   0,           0.0018661,           0.0018661,           0.0018661,              0.1328
                  11,            0.023495,           0.0061086,                   0,             0.37878,             0.19351,             0.14377,            0.065272,            0.016205,           0.0071296,                   0,           0.0017179,           0.0017179,           0.0017179,             0.14377
                  12,            0.023447,           0.0061876,                   0,             0.37099,             0.21444,             0.15745,            0.071499,            0.016035,             0.00698,                   0,           0.0015697,           0.0015697,           0.0015697,             0.15745
                  13,            0.023321,           0.0061592,                   0,             0.39788,             0.22537,             0.16884,            0.076817,            0.015916,           0.0069448,                   0,           0.0014215,           0.0014215,           0.0014215,             0.16884
                  14,            0.022486,           0.0060683,                   0,             0.39687,             0.24294,             0.17967,            0.084031,            0.015799,           0.0068527,                   0,           0.0012733,           0.0012733,           0.0012733,             0.17967
                  15,            0.022807,           0.0061864,                   0,             0.39062,             0.24916,             0.17872,            0.083159,            0.015585,           0.0068168,                   0,           0.0011251,           0.0011251,           0.0011251,             0.17872
                  16,            0.022327,           0.0060573,                   0,             0.43172,             0.25311,             0.19344,            0.090478,            0.015629,           0.0067294,                   0,          0.00097684,          0.00097684,          0.00097684,             0.19344
                  17,             0.02293,           0.0059571,                   0,             0.42582,             0.25916,             0.19279,            0.089708,            0.015531,           0.0067003,                   0,          0.00082863,          0.00082863,          0.00082863,             0.19279
                  18,              0.0221,           0.0059624,                   0,             0.45543,             0.25563,             0.19858,            0.094709,            0.015438,           0.0066776,                   0,          0.00068042,          0.00068042,          0.00068042,             0.19858
                  19,            0.022558,           0.0059018,                   0,             0.43908,             0.26429,             0.20053,            0.095806,            0.015344,           0.0066573,                   0,          0.00053221,          0.00053221,          0.00053221,             0.20053
